date,checks,up,degraded,down,avg,min,max
2026-09-12,5,5,0,0,0,0,0
2026-09-13,23,23,0,0,0,0,0
2026-09-14,3,3,0,0,0,0,0
2026-09-15,15,15,0,0,0,0,0
2026-09-16,4,4,0,0,0,0,0
